"repeat","lengths","index"
24,0.155,1
24,5.125,2
24,0.535,3
24,7.565,4
24,3.16,5
24,47.915,6
24,0.085,7
24,0.03,8
24,1.905,9
24,6.53,10
24,4.09,11
24,5.565,12
24,0.23500000000000001,13
24,22.5,14
24,0.18,15
24,8.945,16
24,0.03,17
24,0.535,18
24,9.265,19
24,4.155,20
24,1.52,21
24,7.785,22
24,3.48,23
24,8.5,24
24,3.2600000000000002,25
24,2.145,26
24,1.695,27
24,0.025,28
24,0.065,29
24,6.46,30
24,5.1450000000000005,31
24,8.05,32
24,0.09,33
24,1.12,34
24,4.23,35
24,10.58,36
24,1.56,37
24,14.005,38
24,0.21,39
24,11.815,40
24,0.07,41
24,3.43,42
24,2.065,43
24,7.7,44
24,0.09,45
24,5.815,46
24,0.59,47
25,0.005,1
25,0.005,2
25,8.325,3
25,6.865,4
25,5.815,5
25,6.42,6
25,5.69,7
25,3.52,8
25,28.495,9
25,0.20500000000000002,10
25,22.495,11
25,0.26,12
25,8.78,13
25,0.115,14
25,0.015,15
25,0.015,16
25,1.2,17
25,2.72,18
25,2.075,19
25,3.185,20
25,21.93,21
25,0.07,22
25,23.435,23
25,6.105,24
25,3.5,25
25,0.35000000000000003,26
25,17.98,27
25,3.145,28
25,4.805,29
25,4.86,30
25,2.57,31
25,3.62,32
25,9.58,33
25,4.38,34
25,6.245,35
25,0.08,36
25,9.315,37
25,0.11,38
25,0.8250000000000001,39
25,0.105,40
25,10.790000000000001,41
26,0.005,1
26,20.5,2
26,0.17,3
26,2.865,4
26,0.51,5
26,8.97,6
26,0.41000000000000003,7
26,0.015,8
26,3.59,9
26,8.67,10
26,0.495,11
26,3.025,12
26,3.255,13
26,2.035,14
26,3.045,15
26,9.05,16
26,6.97,17
26,5.9350000000000005,18
26,0.01,19
26,0.13,20
26,2.315,21
26,9.08,22
26,0.13,23
26,0.535,24
26,3.42,25
26,0.04,26
26,6.1000000000000005,27
26,8.88,28
26,0.22,29
26,10.16,30
26,8.34,31
26,1.77,32
26,0.255,33
26,3.27,34
26,7.49,35
26,9.35,36
26,0.505,37
26,2.315,38
26,1.5250000000000001,39
26,1.3900000000000001,40
26,2.49,41
26,8.290000000000001,42
26,0.23,43
26,11.355,44
26,5.99,45
26,19.41,46
26,5.1450000000000005,47
26,30.35,48
27,2.82,1
27,1.905,2
27,7.515000000000001,3
27,0.34,4
27,1.5250000000000001,5
27,0.095,6
27,0.02,7
27,0.02,8
27,25.805,9
27,0.04,10
27,0.215,11
27,5.76,12
27,14.950000000000001,13
27,5.03,14
27,13.86,15
27,0.115,16
27,0.16,17
27,0.16,18
27,4.635,19
27,0.335,20
27,6.515000000000001,21
27,7.8950000000000005,22
27,5.42,23
27,1.975,24
27,6.0200000000000005,25
27,1.645,26
27,18.69,27
27,6.9350000000000005,28
27,22.225,29
27,2.0,30
27,2.98,31
27,1.215,32
27,10.3,33
27,1.7,34
27,13.935,35
27,3.7800000000000002,36
27,6.155,37
27,4.69,38
27,10.375,39
27,3.915,40
27,8.555,41
27,0.2,42
27,0.19,43
27,2.19,44
27,5.2,45
28,0.015,1
28,0.035,2
28,3.995,3
28,7.4,4
28,0.155,5
28,20.56,6
28,0.47500000000000003,7
28,5.22,8
28,0.17500000000000002,9
28,0.23500000000000001,10
28,0.26,11
28,0.47000000000000003,12
28,0.24,13
28,7.03,14
28,0.31,15
28,11.235,16
28,2.505,17
28,2.87,18
28,0.195,19
28,3.115,20
28,2.275,21
28,2.81,22
28,4.925,23
28,9.515,24
28,2.695,25
28,28.48,26
28,0.025,27
28,5.24,28
28,0.275,29
28,3.8000000000000003,30
28,2.57,31
28,19.655,32
28,0.39,33
28,0.08,34
28,2.745,35
28,0.015,36
28,0.03,37
28,5.815,38
28,0.28,39
28,3.5,40
28,0.085,41
28,0.855,42
28,3.8200000000000003,43
28,0.135,44
28,0.35000000000000003,45
28,0.025,46
28,0.16,47
28,2.565,48
28,4.09,49
28,4.73,50
28,0.2,51
28,2.89,52
28,2.015,53
28,2.6350000000000002,54
28,10.15,55
28,0.055,56
28,0.035,57
28,0.20500000000000002,58
28,0.18,59
28,14.385,60
28,1.0150000000000001,61
28,6.565,62
28,4.535,63
28,16.71,64
29,0.005,1
29,0.02,2
29,1.565,3
29,0.04,4
29,0.45,5
29,6.825,6
29,5.105,7
29,1.7650000000000001,8
29,0.35000000000000003,9
29,11.89,10
29,0.065,11
29,3.9250000000000003,12
29,0.48,13
29,13.915000000000001,14
29,6.0600000000000005,15
29,6.54,16
29,0.735,17
29,7.41,18
29,5.75,19
29,10.365,20
29,0.595,21
29,18.27,22
29,0.055,23
29,4.5,24
29,8.395,25
29,1.08,26
29,5.63,27
29,4.84,28
29,0.375,29
29,18.07,30
29,0.275,31
29,0.15,32
29,0.01,33
29,0.035,34
29,5.09,35
29,4.21,36
29,3.2800000000000002,37
29,5.135,38
29,5.03,39
29,7.13,40
29,4.89,41
29,9.695,42
29,0.115,43
29,0.145,44
29,0.08,45
29,5.61,46
29,0.07,47
29,0.045,48
29,0.025,49
29,2.915,50
29,1.945,51
29,5.45,52
29,11.18,53
29,7.735,54
29,0.41500000000000004,55
29,1.34,56
29,0.185,57
29,5.8100000000000005,58
29,4.69,59
29,2.25,60
30,0.005,1
30,5.15,2
30,0.65,3
30,10.845,4
30,0.08,5
30,9.395,6
30,4.485,7
30,10.02,8
30,6.855,9
30,17.6,10
30,0.125,11
30,1.8,12
30,0.405,13
30,10.645,14
30,0.08,15
30,0.015,16
30,0.055,17
30,0.01,18
30,3.6950000000000003,19
30,17.44,20
30,0.09,21
30,6.245,22
30,8.895,23
30,1.945,24
30,1.27,25
30,11.415000000000001,26
30,0.08,27
30,17.37,28
30,3.9050000000000002,29
30,3.235,30
30,0.275,31
30,9.555,32
30,2.13,33
30,9.945,34
30,0.755,35
30,8.94,36
30,3.12,37
30,6.105,38
30,0.01,39
30,3.995,40
30,5.855,41
30,8.195,42
30,5.88,43
30,7.695,44
30,0.04,45
30,0.34,46
30,0.07,47
30,0.23500000000000001,48
30,8.025,49
30,5.035,50
31,0.005,1
31,0.14,2
31,0.015,3
31,0.07,4
31,4.5,5
31,3.5100000000000002,6
31,0.305,7
31,0.085,8
31,1.895,9
31,3.72,10
31,0.065,11
31,0.155,12
31,2.115,13
31,3.4450000000000003,14
31,2.2,15
31,25.3,16
31,0.63,17
31,0.11,18
31,0.015,19
31,6.1000000000000005,20
31,1.6400000000000001,21
31,0.06,22
31,0.075,23
31,4.44,24
31,0.09,25
31,24.695,26
31,3.015,27
31,7.405,28
31,3.355,29
31,8.89,30
31,4.785,31
31,7.71,32
31,0.035,33
31,11.475,34
31,0.28,35
31,2.24,36
31,0.085,37
31,9.295,38
